TAG;START;ENDE;MITTAG START;MITTAG ENDE;ARBEITSZEIT;ARBEITSZEIT (Ohne Pausen pro Tag)
20220627;09:00:00;18:00:00;12:00:00;13:00:00;09:00:00;08:00:00
20220628;09:00:00;18:00:00;12:30:00;13:20:00;09:00:00;08:10:00
20220629;09:00:00;18:00:00;12:30:00;13:20:00;09:00:00;08:10:00
20220630;09:00:00;18:00:00;12:30:00;13:20:00;09:00:00;08:10:00
20220701;08:00:00;17:00:00;12:20:00;13:00:00;09:00:00;08:20:00
20220702;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
20220703;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
20220704;09:00:00;16:00:00;12:20:00;13:30:00;07:00:00;05:50:00
20220705;09:00:00;18:00:00;12:30:00;13:00:00;09:00:00;08:30:00
20220706;09:00:00;18:00:00;12:00:00;13:20:00;09:00:00;07:40:00
20220707;09:00:00;17:30:00;12:25:00;13:00:00;08:30:00;07:55:00
20220708;08:50:00;17:05:00;12:30:00;13:05:00;08:15:00;07:40:00
20220709;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
20220710;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
20220711;09:00:00;17:30:00;12:10:00;13:00:00;08:30:00;07:40:00
20220712;09:00:00;17:30:00;12:10:00;13:00:00;08:30:00;07:40:00
20220713;09:00:00;17:30:00;12:10:00;12:50:00;08:30:00;07:50:00
20220714;09:00:00;13:25:00;00:00:00;00:00:00;04:25:00;04:25:00
20220715;09:00:00;16:30:00;12:05:00;12:45:00;07:30:00;06:50:00
20220716;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
20220717;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
20220718;08:50:00;17:30:00;12:10:00;12:50:00;08:40:00;08:00:00
20220719;09:00:00;17:00:00;12:05:00;12:50:00;08:00:00;07:15:00
20220720;08:55:00;17:10:00;11:40:00;13:10:00;08:15:00;06:45:00
20220721;09:00:00;18:00:00;12:10:00;12:50:00;08:05:00;07:25:00
